	c1	c2	c3	c4	
r1	 .44587462	  .2922815	 .57873431	 .18381914	
r2	 .65955419	 .28200911	 .18345427	 .26621871	
r3	 .42083851	 .12028708	 .42603446	 .47918358	
r4	 .01172121	 .37000831	 .84830378	         .	
r5	         0	         0	         0	         0	
r6	 9.142e-14	 .00004233	  .5840529	 .00433581	
	c1	c2	c3	c4	
r1	 .44587462	  .2922815	 .57873431	 .18381914	
r2	 .65955419	 .28200911	 .18345427	 .26621871	
r3	 .42083851	 .12028708	 .42603446	 .47918358	
r4	 .01172121	 .37000831	 .84830378	         .	
r5	         0	         0	         0	         0	
r6	 9.142e-14	 .00004233	  .5840529	 .00433581	
