	c1	c2	c3	c4	
r1	        12	        24	         0	         0	
r2	        13	       182	         0	         0	
r3	        14	       252	         0	         0	
r4	        15	       465	         0	         0	
r5	        16	       256	        16	         0	
r6	        17	       561	        17	         0	
r7	        18	       108	        36	         0	
r8	        19	        57	        76	        57	
r9	        20	        20	       200	       120	
r10	        21	         0	       378	       378	
r11	        22	         0	       594	       330	
r12	        23	         0	       437	       460	
r13	        24	         0	       384	       264	
r14	        25	         0	       175	       225	
r15	        26	         0	       130	       234	
r16	        27	         0	        54	       108	
r17	        28	         0	        28	        56	
r18	        29	         0	        29	        58	
r19	        30	         0	        30	        30	
r20	         .	 15.697143	 22.696594	 23.436207	
	c1	c2	c3	c4	
r1	        12	        24	         0	         0	
r2	        13	       182	         0	         0	
r3	        14	       252	         0	         0	
r4	        15	       465	         0	         0	
r5	        16	       256	        16	         0	
r6	        17	       561	        17	         0	
r7	        18	       108	        36	         0	
r8	        19	        57	        76	        57	
r9	        20	        20	       200	       120	
r10	        21	         0	       378	       378	
r11	        22	         0	       594	       330	
r12	        23	         0	       437	       460	
r13	        24	         0	       384	       264	
r14	        25	         0	       175	       225	
r15	        26	         0	       130	       234	
r16	        27	         0	        54	       108	
r17	        28	         0	        28	        56	
r18	        29	         0	        29	        58	
r19	        30	         0	        30	        30	
r20	         .	 15.697143	 22.696594	 23.436207	
