	c1	c2	c3	c4	
r1	 .59831461	 .64454976	 .68632075	 .03771741	
r2	 .65951743	 .57488987	  .5504386	 .00439566	
r3	  5.943472	  5.921406	 5.9766325	 .50011813	
r4	         0	         0	         0	         .	
r5	 15.970509	 24.050661	 24.425439	         0	
r6	 39.837804	 36.331687	 33.853524	 .00709826	
	c1	c2	c3	c4	
r1	 .59831461	 .64454976	 .68632075	 .03771741	
r2	 .65951743	 .57488987	  .5504386	 .00439566	
r3	  5.943472	  5.921406	 5.9766325	 .50011813	
r4	         0	         0	         0	         .	
r5	 15.970509	 24.050661	 24.425439	         0	
r6	 39.837804	 36.331687	 33.853524	 .00709826	
