	c1	c2	c3	c4	
r1	 .47093023	 .47736626	 .50292661	 .08806287	
r2	 .68263158	   .674567	 .65934558	 .26522435	
r3	  5.441701	 5.4255245	 5.4313275	 .32009832	
r4	 .48736842	 .51777575	  .5289108	 .02407448	
r5	 15.116842	 22.382862	 22.774092	         0	
r6	 53.964234	 49.208262	 49.251438	 3.243e-09	
	c1	c2	c3	c4	
r1	 .47093023	 .47736626	 .50292661	 .08806287	
r2	 .68263158	   .674567	 .65934558	 .26522435	
r3	  5.441701	 5.4255245	 5.4313275	 .32009832	
r4	 .48736842	 .51777575	  .5289108	 .02407448	
r5	 15.116842	 22.382862	 22.774092	         0	
r6	 53.964234	 49.208262	 49.251438	 3.243e-09	
