	c1	c2	c3	
r1	-.60099402	-.67832871	      5863	
r2	 .12698014	 .12883618	         .	
r3	-.85537051	-.90199022	      6455	
r4	  .1276604	 .14139741	         .	
r5	-.55678079	  -.576078	      6011	
r6	 .12160941	 .12030596	         .	
r7	-.61646891	 -.6993177	      6124	
r8	 .12731336	 .12669582	         .	
	c1	c2	c3	
r1	-.60099402	-.67832871	      5863	
r2	 .12698014	 .12883618	         .	
r3	-.85537051	-.90199022	      6455	
r4	  .1276604	 .14139741	         .	
r5	-.55678079	  -.576078	      6011	
r6	 .12160941	 .12030596	         .	
r7	-.61646891	 -.6993177	      6124	
r8	 .12731336	 .12669582	         .	
