	c1	c2	c3	c4	c5	c6	c7	c8	
r1	  8.858908	 8.5780266	 7.9626573	 7.6302943	  7.701617	 7.1878348	 6.8530347	 6.6426407	
r2	 1.9187568	 1.1670199	 1.1462368	 1.1542529	 1.7276626	 1.1117141	 1.0883606	 1.0898475	
r3	 3.3931894	    2.1725	 2.1043328	  1.683222	 1.8258324	 1.5385036	 1.5584436	 1.4346114	
r4	 1.9797143	 .95647455	 .95789154	 .95942078	 1.0788685	 .79165868	 .74957248	 .75375672	
r5	         .	         .	 6.9538686	 6.9354095	         .	         .	 6.8338456	 6.8055553	
r6	         .	         .	 1.1380328	 1.1468201	         .	         .	 1.1374178	 1.1467524	
r7	         .	         .	 3.6793198	 3.7042222	         .	         .	 3.6446292	 3.6721694	
r8	         .	         .	 .55154856	 .55287348	         .	         .	 .54949624	 .55095188	
r9	         .	         .	-13.303115	 -13.41893	         .	         .	-13.466995	-13.586557	
r10	         .	         .	 .85147136	 .85583072	         .	         .	 .85395402	 .85695514	
r11	         .	         .	         .	-3.7402305	         .	         .	         .	-3.8188647	
r12	         .	         .	         .	 1.8964097	         .	         .	         .	 1.9083223	
r13	         .	         .	         .	 .05302253	         .	         .	         .	 .06220631	
r14	         .	         .	         .	 .05857086	         .	         .	         .	 .05871104	
r15	         .	         .	         .	 .47902605	         .	         .	         .	 .62580664	
r16	         .	         .	         .	 1.0560571	         .	         .	         .	 1.0779533	
r17	         0	         1	         1	         1	         0	         1	         1	         1	
r18	 .01836007	 .23568285	 .29904219	 .30119173	 .01375643	 .23021791	 .29484686	 .29742364	
	c1	c2	c3	c4	c5	c6	c7	c8	
r1	  8.858908	 8.5780266	 7.9626573	 7.6302943	  7.701617	 7.1878348	 6.8530347	 6.6426407	
r2	 1.9187568	 1.1670199	 1.1462368	 1.1542529	 1.7276626	 1.1117141	 1.0883606	 1.0898475	
r3	 3.3931894	    2.1725	 2.1043328	  1.683222	 1.8258324	 1.5385036	 1.5584436	 1.4346114	
r4	 1.9797143	 .95647455	 .95789154	 .95942078	 1.0788685	 .79165868	 .74957248	 .75375672	
r5	         .	         .	 6.9538686	 6.9354095	         .	         .	 6.8338456	 6.8055553	
r6	         .	         .	 1.1380328	 1.1468201	         .	         .	 1.1374178	 1.1467524	
r7	         .	         .	 3.6793198	 3.7042222	         .	         .	 3.6446292	 3.6721694	
r8	         .	         .	 .55154856	 .55287348	         .	         .	 .54949624	 .55095188	
r9	         .	         .	-13.303115	 -13.41893	         .	         .	-13.466995	-13.586557	
r10	         .	         .	 .85147136	 .85583072	         .	         .	 .85395402	 .85695514	
r11	         .	         .	         .	-3.7402305	         .	         .	         .	-3.8188647	
r12	         .	         .	         .	 1.8964097	         .	         .	         .	 1.9083223	
r13	         .	         .	         .	 .05302253	         .	         .	         .	 .06220631	
r14	         .	         .	         .	 .05857086	         .	         .	         .	 .05871104	
r15	         .	         .	         .	 .47902605	         .	         .	         .	 .62580664	
r16	         .	         .	         .	 1.0560571	         .	         .	         .	 1.0779533	
r17	         0	         1	         1	         1	         0	         1	         1	         1	
r18	 .01836007	 .23568285	 .29904219	 .30119173	 .01375643	 .23021791	 .29484686	 .29742364	
