	c1	c2	c3	c4	c5	c6	c7	c8	
r1	  4.755972	 5.3218501	 5.3736882	 5.3750534	  4.755972	 5.3218501	 5.3736882	 5.3750534	
r2	 2.1882417	 1.2599325	 1.2143502	 1.1901316	 2.1882417	 1.2599325	 1.2143502	 1.1901316	
r3	 .04317556	 .19833373	 .43987528	 .30241364	 .04317556	 .19833373	 .43987528	 .30241364	
r4	 2.2197245	 1.1276483	 1.0963501	 1.0708933	 2.2197245	 1.1276483	 1.0963501	 1.0708933	
r5	         .	         .	 8.3435524	 8.4561048	         .	         .	 8.3435524	 8.4561048	
r6	         .	         .	 1.3585473	 1.3639156	         .	         .	 1.3585473	 1.3639156	
r7	         .	         .	 4.4374452	 4.4108119	         .	         .	 4.4374452	 4.4108119	
r8	         .	         .	 .63200408	 .63042696	         .	         .	 .63200408	 .63042696	
r9	         .	         .	-13.162239	-13.077341	         .	         .	-13.162239	-13.077341	
r10	         .	         .	 .77086291	 .77306191	         .	         .	 .77086291	 .77306191	
r11	         .	         .	         .	-.64954808	         .	         .	         .	-.64954808	
r12	         .	         .	         .	 2.1072646	         .	         .	         .	 2.1072646	
r13	         .	         .	         .	 .26596397	         .	         .	         .	 .26596397	
r14	         .	         .	         .	 .10487792	         .	         .	         .	 .10487792	
r15	         .	         .	         .	-.48900199	         .	         .	         .	-.48900199	
r16	         .	         .	         .	 1.0593781	         .	         .	         .	 1.0593781	
r17	         0	         1	         1	         1	         0	         1	         1	         1	
r18	 .00660519	 .24402386	 .30436626	  .3077455	 .00660519	 .24402386	 .30436626	  .3077455	
	c1	c2	c3	c4	c5	c6	c7	c8	
r1	  4.755972	 5.3218501	 5.3736882	 5.3750534	  4.755972	 5.3218501	 5.3736882	 5.3750534	
r2	 2.1882417	 1.2599325	 1.2143502	 1.1901316	 2.1882417	 1.2599325	 1.2143502	 1.1901316	
r3	 .04317556	 .19833373	 .43987528	 .30241364	 .04317556	 .19833373	 .43987528	 .30241364	
r4	 2.2197245	 1.1276483	 1.0963501	 1.0708933	 2.2197245	 1.1276483	 1.0963501	 1.0708933	
r5	         .	         .	 8.3435524	 8.4561048	         .	         .	 8.3435524	 8.4561048	
r6	         .	         .	 1.3585473	 1.3639156	         .	         .	 1.3585473	 1.3639156	
r7	         .	         .	 4.4374452	 4.4108119	         .	         .	 4.4374452	 4.4108119	
r8	         .	         .	 .63200408	 .63042696	         .	         .	 .63200408	 .63042696	
r9	         .	         .	-13.162239	-13.077341	         .	         .	-13.162239	-13.077341	
r10	         .	         .	 .77086291	 .77306191	         .	         .	 .77086291	 .77306191	
r11	         .	         .	         .	-.64954808	         .	         .	         .	-.64954808	
r12	         .	         .	         .	 2.1072646	         .	         .	         .	 2.1072646	
r13	         .	         .	         .	 .26596397	         .	         .	         .	 .26596397	
r14	         .	         .	         .	 .10487792	         .	         .	         .	 .10487792	
r15	         .	         .	         .	-.48900199	         .	         .	         .	-.48900199	
r16	         .	         .	         .	 1.0593781	         .	         .	         .	 1.0593781	
r17	         0	         1	         1	         1	         0	         1	         1	         1	
r18	 .00660519	 .24402386	 .30436626	  .3077455	 .00660519	 .24402386	 .30436626	  .3077455	
